Symbol,Company.Name,Sector,Industry
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas
FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery
IP,International Paper Company,Consumer Goods,Packaging & Containers
SJW,SJW Group,Utilities,Water Utilities
F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - Major
AVP,"Avon Products, Inc.",Consumer Goods,Personal Products
NFG,National Fuel Gas Company,Basic Materials,Independent Oil & Gas
BF.A,NA,NA,NA
MATX,"Matson, Inc.",Services,Shipping
BK,The Bank of New York Mellon Corporation,Financial,Asset Management
SNE,Sony Corporation,Consumer Goods,Electronic Equipment
KR,The Kroger Co.,Services,Grocery Stores
BP,BP p.l.c.,Basic Materials,Major Integrated Oil & Gas
C,Citigroup Inc.,Financial,Money Center Banks
CL,Colgate-Palmolive Company,Consumer Goods,Personal Products
APA,Apache Corporation,Basic Materials,Independent Oil & Gas
DDS,"Dillard's, Inc.",Services,Department Stores
TSN,"Tyson Foods, Inc.",Consumer Goods,Meat Products
OII,"Oceaneering International, Inc.",Basic Materials,Oil & Gas Equipment & Services
BIF,NA,NA,NA
LAWS,"Lawson Products, Inc.",Services,Industrial Equipment Wholesale
GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale
JCP,"J. C. Penney Company, Inc.",Services,Department Stores
VNO,Vornado Realty Trust,Financial,REIT - Diversified
LPX,Louisiana-Pacific Corporation,Services,Building Materials Wholesale
WABC,Westamerica Bancorporation,Financial,Regional - Pacific Banks
NWLI,"National Western Life Group, Inc.",Financial,Life Insurance
GLT,P. H. Glatfelter Company,Consumer Goods,Paper & Paper Products
LUB,"Luby's, Inc.",Services,Restaurants
NL,"NL Industries, Inc.",Services,Industrial Equipment Wholesale
PGR,The Progressive Corporation,Financial,Property & Casualty Insurance
BF.B,NA,NA,NA
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits
GHC,Graham Holdings Company,Services,Education & Training Services
GFI,Gold Fields Limited,Basic Materials,Gold
SJI,"South Jersey Industries, Inc.",Utilities,Gas Utilities
SHLM,"A. Schulman, Inc.",Basic Materials,Chemicals - Major Diversified
BAC,Bank of America Corporation,Financial,Money Center Banks
CTS,CTS Corporation,Technology,Diversified Electronics
MAT,"Mattel, Inc.",Consumer Goods,Toys & Games
AP,Ampco-Pittsburgh Corporation,Industrial Goods,Diversified Machinery
WGO,"Winnebago Industries, Inc.",Consumer Goods,Recreational Vehicles
MYL,Mylan N.V.,Healthcare,Drugs - Generic
TRC,Tejon Ranch Co.,Financial,Property Management
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods
TMO,Thermo Fisher Scientific Inc.,Healthcare,Medical Laboratories & Research
VLGEA,"Village Super Market, Inc.",Services,Grocery Stores
DUK,Duke Energy Corporation,Utilities,Electric Utilities
JPM,JPMorgan Chase & Co.,Financial,Money Center Banks
AGYS,"Agilysys, Inc.",Technology,Application Software
L,Loews Corporation,Financial,Property & Casualty Insurance
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies
D,"Dominion Energy, Inc.",Utilities,Electric Utilities
TGNA,TEGNA Inc.,Services,Broadcasting - TV
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery
CAL,"Caleres, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
MSEX,Middlesex Water Company,Utilities,Water Utilities
NJR,New Jersey Resources Corporation,Utilities,Gas Utilities
ANAT,American National Insurance Company,Financial,Property & Casualty Insurance
KMT,Kennametal Inc.,Industrial Goods,Machine Tools & Accessories
SENEB,Seneca Foods Corporation,Consumer Goods,Processed & Packaged Goods
WMK,"Weis Markets, Inc.",Services,Grocery Stores
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products
CHD,"Church & Dwight Co., Inc.",Consumer Goods,Cleaning Products
DHR,Danaher Corporation,Industrial Goods,Diversified Machinery
AVA,Avista Corporation,Utilities,Diversified Utilities
FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals
BBT,BB&T Corporation,Financial,Regional - Southeast Banks
FHN,First Horizon National Corporation,Financial,Regional - Southeast Banks
INTC,Intel Corporation,Technology,Semiconductor - Broad Line
KSU,Kansas City Southern,Services,Railroads
CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services
KYO,Kyocera Corporation,Technology,Diversified Electronics
MUX,McEwen Mining Inc.,Basic Materials,Industrial Metals & Minerals
MOG.A,NA,NA,NA
CSX,CSX Corporation,Services,Railroads
CECE,CECO Environmental Corp.,Industrial Goods,Pollution & Treatment Controls
SEIC,SEI Investments Co.,Financial,Asset Management
PHIIK,"PHI, Inc.",NA,NA
NVO,Novo Nordisk A/S,Healthcare,Drug Manufacturers - Other
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals
SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services
HUM,Humana Inc.,Healthcare,Health Care Plans
OXY,Occidental Petroleum Corporation,Basic Materials,Independent Oil & Gas
VLO,Valero Energy Corporation,Basic Materials,Oil & Gas Refining & Marketing
HRS,Harris Corporation,Technology,Communication Equipment
SO,The Southern Company,Utilities,Electric Utilities
THC,Tenet Healthcare Corp.,Healthcare,Hospitals
IHC,Independence Holding Company,Financial,Life Insurance
VBF,Invesco Bond Fund,NA,NA
CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks
RDC,Rowan Companies plc,Basic Materials,Oil & Gas Drilling & Exploration
FMBI,"First Midwest Bancorp, Inc.",Financial,Regional - Midwest Banks
TRST,TrustCo Bank Corp NY,Financial,Regional - Northeast Banks
ASNA,"Ascena Retail Group, Inc.",Services,Apparel Stores
LM,"Legg Mason, Inc.",Financial,Asset Management
PAYX,"Paychex, Inc.",Services,Staffing & Outsourcing Services
SLM,SLM Corporation,Financial,Credit Services
AXE,Anixter International Inc.,Services,Industrial Equipment Wholesale
SGMS,Scientific Games Corporation,Services,Gaming Activities
CB,Chubb Limited,Financial,Property & Casualty Insurance
JCI,Johnson Controls International plc,Consumer Goods,Auto Parts
SWK,"Stanley Black & Decker, Inc.",Industrial Goods,Machine Tools & Accessories
NVR,"NVR, Inc.",Industrial Goods,Residential Construction
ROST,"Ross Stores, Inc.",Services,Apparel Stores
JKHY,"Jack Henry & Associates, Inc.",Technology,Business Software & Services
CBU,"Community Bank System, Inc.",Financial,Regional - Midwest Banks
STKL,SunOpta Inc.,NA,NA
MSFT,Microsoft Corporation,Technology,Business Software & Services
HVT.A,NA,NA,NA
CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line
BDN,Brandywine Realty Trust,Financial,REIT - Diversified
VIVO,"Meridian Bioscience, Inc.",Healthcare,Diagnostic Substances
FISV,"Fiserv, Inc.",Services,Business Services
UNM,Unum Group,Financial,Accident & Health Insurance
TWN,"The Taiwan Fund, Inc.",NA,NA
EQC,Equity Commonwealth,NA,NA
MMT,MFS Multimarket Income Trust,NA,NA
CMU,MFS High Yield Municipal Trust,NA,NA
FUN,"Cedar Fair, L.P.",Services,General Entertainment
FBNC,First Bancorp,Financial,Regional - Mid-Atlantic Banks
TIF,Tiffany & Co.,Services,Jewelry Stores
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment
MGF,MFS Government Markets Income Trust,NA,NA
WASH,"Washington Trust Bancorp, Inc.",Financial,Regional - Northeast Banks
CDNS,"Cadence Design Systems, Inc.",Technology,Application Software
TEF,"Telefónica, S.A.",Technology,Telecom Services - Foreign
IEP,Icahn Enterprises L.P.,Conglomerates,Conglomerates
PII,Polaris Industries Inc.,Consumer Goods,Recreational Vehicles
NNY,"Nuveen New York Municipal Value Fund, Inc.",NA,NA
NCA,"Nuveen California Municipal Value Fund, Inc.",NA,NA
VVC,Vectren Corporation,Utilities,Diversified Utilities
KEY,KeyCorp,Financial,Regional - Midwest Banks
SMP,"Standard Motor Products, Inc.",Consumer Goods,Auto Parts
PBT,Permian Basin Royalty Trust,Basic Materials,Independent Oil & Gas
SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas
SEE,Sealed Air Corporation,Consumer Goods,Packaging & Containers
SCX,The L.S. Starrett Company,Industrial Goods,Small Tools & Accessories
SAN,"Banco Santander, S.A.",Financial,Foreign Money Center Banks
TTF,"The Thai Fund, Inc.",NA,NA
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
MIN,MFS Intermediate Income Trust,NA,NA
CHFC,Chemical Financial Corporation,Financial,Regional - Midwest Banks
GNCMA,"General Communication, Inc.",Technology,Long Distance Carriers
SUN,Sunoco LP,Basic Materials,Oil & Gas Refining & Marketing
KTF,Deutsche Municipal Income Trust,NA,NA
TECH,Bio-Techne Corporation,Healthcare,Biotechnology
MEN,"BlackRock MuniEnhanced Fund, Inc.",NA,NA
KSM,Deutsche Strategic Municipal Income Trust,NA,NA
CXH,MFS Investment Grade Municipal Trust,NA,NA
AGN,Allergan plc,Healthcare,Drugs - Generic
MCR,MFS Charter Income Trust,NA,NA
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software
ZIXI,Zix Corporation,Technology,Application Software
GIII,"G-III Apparel Group, Ltd.",Consumer Goods,Textile - Apparel Clothing
POT,Potash Corporation of Saskatchewan Inc.,Basic Materials,Agricultural Chemicals
ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories
JOE,The St. Joe Company,Financial,Real Estate Development
TEX,Terex Corporation,Industrial Goods,Farm & Construction Machinery
SSP,The E. W. Scripps Company,Services,Broadcasting - TV
RIO,Rio Tinto plc,Basic Materials,Industrial Metals & Minerals
MXE,Mexico Equity & Income Fund Inc.,NA,NA
AZO,"AutoZone, Inc.",Services,Auto Parts Stores
PRGS,Progress Software Corporation,Technology,Application Software
EZPW,"EZCORP, Inc.",Financial,Credit Services
NUM,Nuveen Michigan Quality Municipal Income Fund,NA,NA
ATNI,"ATN International, Inc.",Technology,Telecom Services - Domestic
OI,"Owens-Illinois, Inc.",Consumer Goods,Packaging & Containers
QCOM,QUALCOMM Incorporated,Technology,Communication Equipment
ELY,Callaway Golf Company,Consumer Goods,Sporting Goods
PPR,Voya Prime Rate Trust,NA,NA
NBTB,NBT Bancorp Inc.,Financial,Regional - Northeast Banks
SCLN,"SciClone Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other
FRED,"Fred's, Inc.",Services,"Discount, Variety Stores"
KOPN,Kopin Corporation,Technology,Semiconductor - Broad Line
STBA,"S&T Bancorp, Inc.",Financial,Regional - Northeast Banks
HQL,Tekla Life Sciences Investors,NA,NA
CACC,Credit Acceptance Corporation,Financial,Credit Services
LDF,"The Latin American Discovery Fund, Inc.",NA,NA
PX,"Praxair, Inc.",Basic Materials,Chemicals - Major Diversified
JEQ,NA,NA,NA
EQS,NA,NA,NA
CCU,Compañía Cervecerías Unidas S.A.,Consumer Goods,Beverages - Brewers
TRIB,Trinity Biotech plc,Healthcare,Diagnostic Substances
MTX,Minerals Technologies Inc.,Basic Materials,Chemicals - Major Diversified
PDCO,"Patterson Companies, Inc.",Services,Medical Equipment Wholesale
MIY,"BlackRock MuniYield Michigan Quality Fund, Inc.",NA,NA
QUMU,Qumu Corporation,Technology,Computer Peripherals
TCO,"Taubman Centers, Inc.",Financial,REIT - Retail
AAON,"AAON, Inc.",Industrial Goods,General Building Materials
BBOX,Black Box Corporation,Technology,Networking & Communication Devices
CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas
BKN,BlackRock Investment Quality Municipal Trust Inc.,NA,NA
MS,Morgan Stanley,Financial,Investment Brokerage - National
SCVL,"Shoe Carnival, Inc.",Services,Apparel Stores
NMT,Nuveen Massachusetts Quality Municipal Income Fund,NA,NA
NPV,Nuveen Virginia Quality Municipal Income Fund,NA,NA
ALG,Alamo Group Inc.,Industrial Goods,Farm & Construction Machinery
SYBT,"Stock Yards Bancorp, Inc.",Financial,Regional - Southeast Banks
TCBK,TriCo Bancshares,Financial,Regional - Pacific Banks
AKR,Acadia Realty Trust,Financial,Property Management
THRM,Gentherm Incorporated,Consumer Goods,Auto Parts
BBSI,"Barrett Business Services, Inc.",Services,Staffing & Outsourcing Services
CPT,Camden Property Trust,Financial,REIT - Residential
MCRI,"Monarch Casino & Resort, Inc.",Services,Resorts & Casinos
EQR,Equity Residential,Financial,REIT - Residential
BWA,BorgWarner Inc.,Consumer Goods,Auto Parts
UBSH,Union Bankshares Corporation,Financial,Regional - Mid-Atlantic Banks
RVSB,"Riverview Bancorp, Inc.",Financial,Savings & Loans
AF,Astoria Financial Corporation,Financial,Savings & Loans
BFR,BBVA Banco Francés S.A.,Financial,Foreign Regional Banks
TV,"Grupo Televisa, S.A.B.",Services,Broadcasting - TV
EMN,Eastman Chemical Company,Basic Materials,Chemicals - Major Diversified
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology
OKSB,"Southwest Bancorp, Inc.",Financial,Regional - Southwest  Banks
MED,"Medifast, Inc.",Services,"Specialty Retail, Other"
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
BZH,"Beazer Homes USA, Inc.",Industrial Goods,Residential Construction
NMRX,Numerex Corp.,Technology,Communication Equipment
MPAA,"Motorcar Parts of America, Inc.",Consumer Goods,Auto Parts
USNA,"USANA Health Sciences, Inc.",Healthcare,Drug Related Products
CNOB,"ConnectOne Bancorp, Inc.",Financial,Regional - Northeast Banks
VVUS,"VIVUS, Inc.",Healthcare,Biotechnology
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold
HIW,"Highwoods Properties, Inc.",Financial,REIT - Office
AKO.A,NA,NA,NA
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment
AMED,"Amedisys, Inc.",Healthcare,Home Health Care
RS,Reliance Steel & Aluminum Co.,Basic Materials,Steel & Iron
CETV,Central European Media Enterprises Ltd.,Services,Broadcasting - TV
VCO,Viña Concha y Toro S.A.,Consumer Goods,Beverages - Brewers
BMO,Bank of Montreal,Financial,Money Center Banks
UHAL,AMERCO,Services,Rental & Leasing Services
TGS,Transportadora de Gas Del Sur S.A.,Utilities,Gas Utilities
EME,"EMCOR Group, Inc.",Industrial Goods,General Contractors
PAAS,Pan American Silver Corp.,NA,NA
HA,"Hawaiian Holdings, Inc.",Services,Regional Airlines
KFRC,Kforce Inc.,Services,Staffing & Outsourcing Services
AVX,AVX Corporation,Technology,Diversified Electronics
BREW,"Craft Brew Alliance, Inc.",Consumer Goods,Beverages - Brewers
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction
ERIE,Erie Indemnity Company,Financial,Insurance Brokers
POOL,Pool Corporation,Consumer Goods,Sporting Goods
BAP,Credicorp Ltd.,Financial,Money Center Banks
WAT,Waters Corporation,Healthcare,Medical Instruments & Supplies
PRXL,PAREXEL International Corporation,Healthcare,Medical Laboratories & Research
NVAX,"Novavax, Inc.",Healthcare,Biotechnology
ITT,ITT Inc.,Industrial Goods,Diversified Machinery
IPXL,"Impax Laboratories, Inc.",Healthcare,Drug Manufacturers - Major
FTAI,Fortress Transportation and Infrastructure Investors LLC,Services,Rental & Leasing Services
SCCO,Southern Copper Corporation,Basic Materials,Copper
RCI,Rogers Communications Inc.,Technology,Wireless Communications
CSGS,"CSG Systems International, Inc.",Technology,Business Software & Services
REV,"Revlon, Inc.",Consumer Goods,Personal Products
CENX,Century Aluminum Company,Basic Materials,Aluminum
JAKK,"JAKKS Pacific, Inc.",Consumer Goods,Toys & Games
ANSS,"Ansys, Inc.",Technology,Application Software
PEGA,"Pegasystems, Inc.",Technology,Business Software & Services
LAMR,Lamar Advertising Company,Financial,REIT - Diversified
ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National
FMS,Fresenius Medical Care AG & Co. KGAA,Healthcare,Specialized Health Services
NCI,"Navigant Consulting, Inc.",Services,Management Services
NVS,Novartis AG,Healthcare,Drug Manufacturers - Major
PDS,Precision Drilling Corporation,Basic Materials,Oil & Gas Equipment & Services
PSO,Pearson plc,Services,Publishing - Books
NUS,"Nu Skin Enterprises, Inc.",Consumer Goods,Personal Products
EMITF,Elbit Imaging Ltd.,NA,NA
TESO,Tesco Corporation,Basic Materials,Oil & Gas Equipment & Services
VSAT,"ViaSat, Inc.",Technology,Communication Equipment
SNAK,"Inventure Foods, Inc.",Consumer Goods,Processed & Packaged Goods
SNHY,Sun Hydraulics Corporation,Industrial Goods,Industrial Equipment & Components
ESGR,Enstar Group Limited,Financial,Property & Casualty Insurance
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts
FBC,"Flagstar Bancorp, Inc.",Financial,Savings & Loans
VTR,"Ventas, Inc.",Financial,REIT - Healthcare Facilities
AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses
NTL,Nortel Inversora S.A.,Technology,Telecom Services - Foreign
SRT,"StarTek, Inc.",Services,Business Services
FIX,"Comfort Systems USA, Inc.",Industrial Goods,General Contractors
EGHT,"8x8, Inc.",Technology,Diversified Communication Services
PSMT,"PriceSmart, Inc.",Services,"Discount, Variety Stores"
PLCE,"The Children's Place, Inc.",Services,Apparel Stores
SRI,"Stoneridge, Inc.",Consumer Goods,Auto Parts
CHRW,"C.H. Robinson Worldwide, Inc.",Services,Air Delivery & Freight Services
FORTY,Formula Systems (1985) Ltd.,Technology,Business Software & Services
CHL,China Mobile Limited,Technology,Wireless Communications
CSU,Capital Senior Living Corporation,Healthcare,Long-Term Care Facilities
SAH,"Sonic Automotive, Inc.",Services,Auto Dealerships
GEOS,Geospace Technologies Corporation,Basic Materials,Oil & Gas Equipment & Services
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment
NICK,"Nicholas Financial, Inc.",Financial,Credit Services
PWR,"Quanta Services, Inc.",Industrial Goods,General Contractors
SCS,Steelcase Inc.,Consumer Goods,Business Equipment
WDR,"Waddell & Reed Financial, Inc.",Financial,Asset Management
UVSP,Univest Corporation of Pennsylvania,Financial,Regional - Northeast Banks
CFFI,C&F Financial Corporation,Financial,Regional - Mid-Atlantic Banks
FII,"Federated Investors, Inc.",Financial,Asset Management
AXTI,"AXT, Inc.",Technology,Semiconductor - Integrated Circuits
BDE,NA,NA,NA
HCKT,"The Hackett Group, Inc.",Services,Management Services
GIL,Gildan Activewear Inc.,Consumer Goods,Textile - Apparel Clothing
CSGP,"CoStar Group, Inc.",Financial,Property Management
HTBK,Heritage Commerce Corp,Financial,Regional - Pacific Banks
RBCAA,"Republic Bancorp, Inc.",Financial,Regional - Southeast Banks
IX,ORIX Corporation,Financial,Credit Services
VIV,Telefônica Brasil S.A.,Technology,Wireless Communications
PAA,"Plains All American Pipeline, L.P.",Basic Materials,Oil & Gas Pipelines
BCOR,"Blucora, Inc.",Technology,Internet Information Providers
AMRB,American River Bankshares,Financial,Regional - Pacific Banks
BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified
ETM,Entercom Communications Corp.,Services,Broadcasting - Radio
GBL,"GAMCO Investors, Inc.",Financial,Asset Management
EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services
EXTR,"Extreme Networks, Inc.",Technology,Networking & Communication Devices
ATLC,Atlanticus Holdings Corporation,Financial,Credit Services
PGC,Peapack-Gladstone Financial Corporation,Financial,Regional - Northeast Banks
WTBA,"West Bancorporation, Inc.",Financial,Regional - Southwest  Banks
KT,KT Corporation,Technology,Telecom Services - Foreign
NAD,Nuveen Quality Municipal Income Fund,NA,NA
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services
JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices
KTP,NA,NA,NA
FNLC,"The First Bancorp, Inc.",Financial,Regional - Northeast Banks
HSBC,HSBC Holdings plc,Financial,Foreign Money Center Banks
ACTA,Actua Corporation,Technology,Application Software
PCTI,"PCTEL, Inc.",Technology,Wireless Communications
RHT,"Red Hat, Inc.",Technology,Application Software
NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services
MFC,Manulife Financial Corporation,Financial,Life Insurance
RDWR,Radware Ltd.,Technology,Information Technology Services
BLK,"BlackRock, Inc.",Financial,Asset Management
CIR,"CIRCOR International, Inc.",Industrial Goods,Industrial Equipment & Components
PTNR,Partner Communications Company Ltd.,Technology,Wireless Communications
NSL,Nuveen Senior Income Fund,NA,NA
